conglome,vivienda,hogar,age,fac500a,d544t,educ,male,raza,exper,pea,ing_lab,ing_total,ln_ing,ln_ing_lab
007303,062,11,53,200.5887,1245.0,3,0,Mestizo,33.0,PEA Ocupada,549.8333,549.8333,6.309615,6.309615
007303,062,11,29,242.06763,1245.0,4,0,Mestizo,7.0,PEA Ocupada,1133.4167,1133.4167,7.032992,7.032992
007303,062,11,21,285.80756,1245.0,4,0,Mestizo,1.0,PEA Ocupada,137.0,137.0,4.919981,4.919981
007303,078,11,37,248.03499,1245.0,4,1,Mestizo,15.0,PEA Ocupada,1798.9166,1798.9166,7.49494,7.49494
007303,139,11,52,200.5887,6530.0,4,0,Mestizo,31.0,PEA Ocupada,1695.4166,2239.5833,7.714045,7.4356837
007303,155,11,48,200.5887,1245.0,4,0,Mestizo,26.0,PEA Ocupada,585.5,585.5,6.372466,6.372466
007303,155,11,25,242.06763,1245.0,4,0,Mestizo,2.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007304,013,11,46,191.59714,1245.0,1,0,Mestizo,29.0,PEA Ocupada,896.8333,896.8333,6.79887,6.79887
007304,054,11,59,191.59714,3870.0,3,0,Mestizo,39.0,PEA Ocupada,1941.5834,2264.0835,7.7249255,7.571259
007304,054,11,36,231.21674,2444.0,4,0,Mestizo,14.0,PEA Ocupada,1202.1666,1405.8333,7.2483854,7.091881
007304,082,11,79,151.61844,1245.0,4,0,Mestizo,57.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007304,082,11,51,191.59714,1245.0,4,0,Mestizo,29.0,PEA Ocupada,1232.5834,1232.5834,7.1168675,7.1168675
007304,100,11,27,231.21674,1752.0,5,0,Mestizo,4.0,PEA Ocupada,2150.9167,2296.9167,7.739323,7.6736493
007304,153,11,32,231.21674,3985.0,4,0,Mestizo,11.0,PEA Ocupada,1328.25,1660.3334,7.4147735,7.1916175
007304,153,11,30,236.91661,613.0,4,1,Mestizo,8.0,PEA Ocupada,952.0,1003.0833,6.910834,6.858565
007304,153,11,30,236.91661,2044.0,3,1,Mestizo,10.0,PEA Ocupada,1509.9166,1680.25,7.4266977,7.31981
007305,014,11,34,244.1126,1743.0,4,1,Mestizo,12.0,PEA Ocupada,1318.25,1463.5,7.288586,7.1840606
007305,014,11,29,238.2396,718.0,4,0,Blanco,7.0,PEA Ocupada,1492.9166,1552.75,7.3477826,7.308487
007305,030,11,54,225.11063,1245.0,1,1,Mestizo,37.0,PEA Ocupada,737.1667,737.1667,6.602814,6.602814
007305,062,11,50,225.11063,2587.0,1,1,Mestizo,33.0,PEA Ocupada,841.0833,1056.6666,6.9628744,6.7346907
007305,062,11,42,238.2396,1245.0,1,0,Mestizo,25.0,PEA Ocupada,93.0,93.0,4.5325994,4.5325994
007305,062,11,64,197.41661,1245.0,1,0,Mestizo,49.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007305,062,11,62,197.41661,1245.0,1,0,Mestizo,45.0,PEA Ocupada,1133.0,1133.0,7.0326242,7.0326242
007305,093,11,45,225.11063,2666.0,3,1,Blanco,25.0,PEA Ocupada,1484.3334,1706.5,7.4421997,7.302721
007305,108,11,52,197.41661,3486.0,3,0,Mestizo,32.0,PEA Ocupada,1187.5,1478.0,7.298445,7.0796056
007305,155,11,55,225.11063,3384.0,3,1,Mestizo,35.0,PEA Ocupada,1500.6666,1782.6666,7.4858656,7.313665
007305,155,11,24,281.2878,1245.0,3,0,Mestizo,4.0,PEA Ocupada,1731.75,1731.75,7.4568877,7.4568877
007306,009,11,74,156.22363,1245.0,3,0,Mestizo,53.0,PEA Ocupada,1406.5834,1406.5834,7.248919,7.248919
007306,009,11,34,244.1126,618.0,3,1,Mestizo,12.0,PEA Ocupada,1196.25,1247.75,7.129097,7.086947
007306,009,11,47,225.11063,1648.0,4,1,Mestizo,25.0,PEA Ocupada,1495.3334,1632.6667,7.39797,7.3101044
007306,009,11,36,238.2396,1245.0,1,0,Mestizo,19.0,PEA Ocupada,169.5,169.5,5.132853,5.132853
007306,052,11,66,156.22363,1030.0,1,0,Mestizo,49.0,PEA Ocupada,1694.6666,1780.5,7.4846497,7.435241
007306,109,11,70,157.55838,1245.0,1,1,Mestizo,53.0,PEA Ocupada,966.9166,966.9166,6.874112,6.874112
007306,152,11,41,238.2396,3090.0,4,0,Blanco,19.0,PEA Ocupada,1495.3334,1752.8334,7.468989,7.3101044
007307,003,11,46,190.42503,1245.0,4,1,Mestizo,24.0,PEA Ocupada,761.8333,761.8333,6.635728,6.635728
007307,015,11,57,166.9982,1245.0,4,0,Mestizo,35.0,PEA Ocupada,1361.1666,1361.1666,7.2160974,7.2160974
007307,026,11,64,190.42503,1245.0,2,1,Otros,55.0,PEA Ocupada,537.3333,537.3333,6.2866187,6.2866187
007307,026,11,55,166.9982,1245.0,1,0,Mestizo,38.0,PEA Ocupada,508.91666,508.91666,6.232284,6.232284
007307,095,11,78,132.15231,1245.0,1,0,Mestizo,61.0,PEA Ocupada,1274.75,1274.75,7.1505055,7.1505055
007307,107,11,71,132.15231,1245.0,1,0,Mestizo,54.0,PEA Ocupada,1980.75,1980.75,7.591231,7.591231
007308,046,11,42,129.00684,830.0,4,0,Mestizo,20.0,PEA Ocupada,917.8333,987.0,6.89467,6.822016
